-23.62,-29.108,-29.308,-28.842
-2.49,-0.246,0.092,-0.585
-4.78,-4.053,-4.31,-4.21
-4.45,-3.818,-3.922,-3.672
-5.33,-3.746,-3.978,-3.93
-5.26,-4.667,-5.014,-4.601
-8.24,-7.415,-6.864,-7.163
-6.24,-5.137,-4.942,-5.161
-7.78,-7.806,-7.88,-8.016
-3.75,-2.576,-2.759,-2.126
-4.44,-4.983,-4.746,-4.524
-4.09,-0.399,-0.421,-0.488
-4.51,-2.474,-2.172,-2.475
-3.2,-3.68,-3.659,-3.784
-2.53,-1.388,-0.977,-0.803
-3.78,-1.527,-1.562,-1.395
-2.78,0.029,-0.256,0.031
-7.63,-8.811,-8.726,-8.967
-6.78,-6.346,-6.83,-6.782
-9.34,-6.155,-6.217,-6.235
-7.43,-0.175,-0.477,-0.291
-5.73,-6.839,-6.419,-6.958
-5.31,-5.971,-6.302,-6.277
-4.8,-5.181,-5.473,-5.33
-4.29,-3.613,-5.586,-5.047
-1.66,-0.451,-0.453,-0.657
-2.29,-1.175,-1.149,-1.086
-7.29,-5.884,-5.848,-5.787
-6.96,-6.879,-6.854,-6.564
-5.8,-5.437,-4.817,-5.037
-4.68,-3.085,-2.737,-3.132
-5.66,-3.322,-2.809,-3.201
-5.94,-7.455,-7.349,-7.505
-3.93,-1.697,-1.668,-1.591
-0.85,0.798,0.685,0.532
-5.05,-2.813,-2.643,-2.603
-3.13,-2.97,-2.941,-3.137
0.14,0.827,0.94,0.718
-5.08,-6.138,-6.153,-6.17
-11.53,-8.773,-8.566,-8.737
-9.44,-5.867,-6.049,-5.883
-14.21,-11.425,-11.453,-11.181
-11.85,-6.728,-6.759,-6.964
-3.16,-2.56,-2.921,-2.753
-4.14,-1.701,-1.521,-1.494
-9.53,-5.5,-5.63,-5.78
-2.87,-0.849,-1.122,-1.343
