-23.62,-22.03,-22.413,-22.483
-2.49,-1.334,-1.132,-0.477
-4.78,-3.06,-2.722,-2.931
-4.45,-2.93,-3.034,-3.223
-5.33,-4.886,-4.765,-4.929
-5.26,-6.354,-6.361,-6.369
-8.24,-7.043,-7.135,-7.408
-6.24,-3.871,-3.822,-3.937
-7.78,-10.392,-10.69,-10.834
-3.75,-2.339,-2.388,-2.527
-4.44,-3.851,-3.799,-3.904
-4.09,-2.167,-2.376,-2.264
-4.51,-1.981,-2.387,-2.059
-3.2,-3.94,-3.733,-3.601
-2.53,-1.293,-0.925,-1.289
-3.78,-1.727,-1.666,-1.589
-2.78,-0.063,0.002,-0.137
-7.63,-7.935,-7.621,-8.074
-6.78,-8.904,-9.168,-8.04
-9.34,-5.705,-6.016,-6.028
-7.43,-0.929,-0.817,-0.459
-5.73,-8.025,-8.573,-8.494
-5.31,-6.445,-6.547,-6.518
-4.8,-7.656,-7.344,-7.548
-4.29,-7.617,-6.531,-4.796
-1.66,-0.848,-0.767,-0.688
-2.29,-1.332,-1.202,-1.351
-7.29,-5.177,-4.953,-5.173
-6.96,-6.349,-6.228,-6.337
-5.8,-7.571,-7.054,-7.092
-4.68,-3.169,-3.201,-2.929
-5.66,-4.886,-5.143,-4.993
-5.94,-6.672,-6.63,-6.434
-3.93,-2.274,-2.517,-2.337
-0.85,0.589,0.632,0.853
-5.05,-3.331,-3.311,-3.334
-3.13,-3.302,-3.549,-3.384
0.14,0.749,0.819,0.681
-5.08,-6.679,-6.682,-6.759
-11.53,-8.388,-8.402,-8.124
-9.44,-6.09,-6.074,-5.932
-14.21,-11.941,-12.603,-10.903
-11.85,-6.44,-6.313,-6.243
-3.16,-3.005,-2.671,-2.788
-4.14,-1.337,-1.592,-1.751
-9.53,-5.766,-5.552,-6.04
-2.87,-1.103,-1.234,-1.061
